inspection_id,date,zone,equipment_name,equipment_type,health_score,status,last_maintenance_date,next_maintenance_date,anomaly_type,risk_level,temperature_reading,vibration_reading,power_consumption,estimated_lifespan_days
INS000033,2016-01-01,VIP区,照明系统,电气,88,正常,2015-07-15,2016-01-31,,低,63.3,1.03,70.2,1395
INS000034,2016-01-01,VIP区,消防喷淋,消防,93,正常,2015-08-08,2016-02-22,,低,22.3,3.0,20.4,2850
INS000035,2016-01-01,VIP区,监控摄像头,安防,88,正常,2015-09-08,2016-03-30,,低,38.5,1.88,25.0,1114
INS000036,2016-01-01,VIP区,电梯系统,运输,73,正常,2015-12-02,2016-03-16,,低,19.1,2.1,13.2,980
INS000037,2016-01-01,VIP区,通风管道,暖通,89,正常,2015-10-04,2016-03-09,,低,46.1,3.41,89.2,1688
INS000038,2016-01-01,VIP区,应急照明,电气,90,正常,2015-08-19,2016-02-05,,低,67.9,1.98,34.8,1619
INS000039,2016-01-01,VIP区,排水系统,结构,89,正常,2015-08-24,2016-03-28,,低,18.4,0.81,21.9,4200
INS000040,2016-01-01,VIP区,电子显示屏,电气,89,正常,2015-07-21,2016-02-28,,低,65.9,2.93,70.9,1572
INS000041,2016-01-01,VIP区,贵宾接待系统,控制,82,正常,2015-11-13,2016-03-22,,低,37.5,1.52,60.3,1280
INS000042,2016-01-01,舞台区,液压升降台,机械,87,正常,2015-09-02,2016-02-23,,低,63.0,6.33,22.8,913
INS000043,2016-01-01,舞台区,舞台灯光,电气,77,正常,2015-10-01,2016-03-15,,低,47.1,2.11,73.1,1658
INS000044,2016-01-01,舞台区,音响系统,电气,80,正常,2015-11-11,2016-03-03,,低,60.7,2.12,45.6,2107
INS000045,2016-01-01,舞台区,烟雾机,特效,100,正常,2015-10-31,2016-02-28,,低,20.7,2.95,28.0,835
INS000046,2016-01-01,舞台区,吊挂系统,机械,86,正常,2015-07-21,2016-03-03,,低,62.6,3.57,22.7,1068
INS000047,2016-01-01,舞台区,旋转舞台,机械,78,正常,2015-09-01,2016-01-31,,低,49.5,4.45,32.2,1023
INS000048,2016-01-01,舞台区,LED地屏,电气,88,正常,2015-07-22,2016-02-05,,低,63.4,1.83,66.1,2158
INS000049,2016-01-01,舞台区,舞台幕布,结构,85,正常,2015-09-08,2016-02-01,,低,30.2,1.21,11.1,3676
INS000050,2016-01-01,舞台区,线缆卷扬机,机械,63,预警,2015-10-22,2016-03-22,密封泄漏,低,61.2,4.11,44.3,605
INS000051,2016-01-01,舞台区,舞台监控,安防,84,正常,2015-07-28,2016-03-08,,低,26.5,1.49,32.7,1032
INS000052,2016-01-01,灯光区,主灯阵列,电气,90,正常,2015-07-20,2016-02-29,,低,58.0,1.7,48.1,1516
INS000053,2016-01-01,灯光区,追光灯,电气,81,正常,2015-07-25,2016-02-18,,低,57.2,1.36,56.7,1535
INS000054,2016-01-01,灯光区,灯光控制台,控制,76,正常,2015-08-11,2016-02-20,,低,40.7,2.35,11.6,909
INS000055,2016-01-01,灯光区,配电柜,电气,88,正常,2015-09-07,2016-02-21,,低,55.6,-0.0,37.2,1981
INS000056,2016-01-01,灯光区,散热系统,暖通,77,正常,2015-07-19,2016-03-10,,低,54.2,2.14,97.3,1604
INS000057,2016-01-01,灯光区,特效灯,电气,81,正常,2015-10-19,2016-02-23,,低,63.0,2.3,46.3,1444
INS000058,2016-01-01,灯光区,激光投影,电气,93,正常,2015-08-02,2016-02-25,,低,41.5,4.04,60.3,2465
INS000059,2016-01-01,灯光区,灯光桁架,结构,95,正常,2015-07-07,2016-03-19,,低,28.7,1.07,41.0,3606
INS000060,2016-01-01,灯光区,调光器,电气,83,正常,2015-11-15,2016-02-16,,低,44.9,2.22,57.6,2359
INS000061,2016-01-01,灯光区,信号放大器,通信,80,正常,2015-10-17,2016-02-02,,低,22.1,1.7,9.4,885
INS000062,2016-01-01,音响区,主扩音箱,电气,95,正常,2015-11-12,2016-03-09,,低,61.3,0.01,63.3,2551
INS000063,2016-01-01,音响区,低音炮阵列,电气,79,正常,2015-09-09,2016-03-18,,低,46.4,1.77,39.6,1247
INS000064,2016-01-01,音响区,调音台,控制,90,正常,2015-08-19,2016-02-11,,低,28.9,1.99,4.6,1281
INS000065,2016-01-01,音响区,无线麦克风,通信,93,正常,2015-10-28,2016-02-03,,低,31.6,3.27,28.2,1057
INS000066,2016-01-01,音响区,功放系统,电气,80,正常,2015-07-26,2016-02-10,,低,44.0,0.98,59.4,1874
INS000067,2016-01-01,音响区,音频处理器,控制,68,预警,2015-09-07,2016-02-19,,低,32.8,3.17,24.6,742
INS000068,2016-01-01,音响区,返听音箱,电气,84,正常,2015-07-10,2016-03-26,,低,66.8,2.29,40.0,2291
INS000069,2016-01-01,音响区,信号分配器,通信,84,正常,2015-09-01,2016-02-20,,低,17.3,2.76,4.9,670
INS000070,2016-01-01,音响区,录音系统,控制,82,正常,2015-10-29,2016-03-20,,低,33.5,2.22,23.9,1126
INS000071,2016-01-01,音响区,降噪系统,电气,82,正常,2015-10-13,2016-03-17,,低,60.3,2.79,54.4,2277
INS000072,2016-01-01,安防区,视频监控,安防,76,正常,2015-11-04,2016-03-21,,低,33.5,3.24,27.0,865
INS000073,2016-01-01,安防区,门禁系统,安防,87,正常,2015-11-05,2016-02-25,,低,26.5,0.96,15.5,1269
INS000074,2016-01-01,安防区,X光安检机,安防,87,正常,2015-10-23,2016-02-20,,低,34.2,3.04,42.6,971
INS000075,2016-01-01,安防区,金属探测器,安防,83,正常,2015-08-27,2016-02-28,,低,33.9,2.19,31.0,963
INS000076,2016-01-01,安防区,报警系统,安防,82,正常,2015-10-11,2016-03-02,,低,25.0,0.77,43.4,1260
INS000077,2016-01-01,安防区,人脸识别终端,安防,84,正常,2015-08-06,2016-02-02,,低,20.8,2.06,16.3,1278
INS000078,2016-01-01,安防区,巡更系统,安防,88,正常,2015-11-12,2016-03-22,,低,19.9,2.73,57.0,1319
INS000079,2016-01-01,安防区,对讲系统,通信,83,正常,2015-08-10,2016-03-07,,低,25.6,2.05,38.2,908
INS000080,2016-01-01,安防区,防入侵传感器,安防,84,正常,2015-07-20,2016-03-17,,低,23.9,1.34,35.3,1340
INS000081,2016-01-01,安防区,安防控制台,控制,68,预警,2015-08-15,2016-02-20,,低,23.6,1.9,12.4,1086
INS000082,2016-01-01,消防区,火灾报警器,消防,96,正常,2015-08-05,2016-03-04,,低,38.7,1.75,9.7,2025
INS000083,2016-01-01,消防区,自动喷淋,消防,85,正常,2015-11-13,2016-02-14,,低,19.3,3.28,40.2,2103
INS000084,2016-01-01,消防区,消防水泵,机械,70,正常,2015-10-15,2016-02-03,,低,65.3,5.53,36.6,755
INS000085,2016-01-01,消防区,排烟风机,暖通,85,正常,2015-08-19,2016-03-27,,低,47.4,3.53,82.2,1626
INS000086,2016-01-01,消防区,灭火器组,消防,90,正常,2015-07-29,2016-02-07,,低,26.5,2.48,29.1,2801
INS000087,2016-01-01,消防区,气体灭火系统,消防,89,正常,2015-11-13,2016-03-18,,低,27.9,3.52,31.6,2945
INS000088,2016-01-01,消防区,消防广播,通信,84,正常,2015-08-08,2016-03-25,,低,33.1,0.35,46.9,1101
INS000089,2016-01-01,消防区,防火卷帘,结构,87,正常,2015-09-28,2016-02-06,,低,39.6,2.33,45.1,2558
INS000090,2016-01-01,消防区,消防电话,通信,79,正常,2015-09-26,2016-03-07,,低,39.9,2.13,43.8,630
INS000091,2016-01-01,消防区,应急照明,电气,91,正常,2015-11-16,2016-02-19,,低,60.0,0.9,48.5,2057
INS000092,2016-01-01,电力区,主变压器,电气,88,正常,2015-07-14,2016-02-26,,低,65.8,1.83,54.8,1962
INS000093,2016-01-01,电力区,备用发电机,机械,87,正常,2015-09-21,2016-03-15,,低,65.4,4.97,58.9,1142
INS000094,2016-01-01,电力区,UPS电源,电气,86,正常,2015-08-10,2016-03-29,,低,54.9,2.33,83.1,1334
INS000095,2016-01-01,电力区,配电柜,电气,84,正常,2015-10-22,2016-03-25,,低,57.1,1.64,74.1,1876
INS000096,2016-01-01,电力区,电缆线路,电气,88,正常,2015-09-03,2016-03-21,,低,65.3,2.3,60.0,1520
INS000097,2016-01-01,电力区,稳压器,电气,88,正常,2015-08-29,2016-02-01,,低,56.1,1.49,42.7,1894
INS000098,2016-01-01,电力区,电容补偿柜,电气,88,正常,2015-11-08,2016-02-04,,低,45.5,2.03,66.8,1512
INS000099,2016-01-01,电力区,接地系统,电气,85,正常,2015-11-05,2016-03-08,,低,57.4,2.87,56.7,1609
INS000100,2016-01-01,电力区,电力监控,控制,87,正常,2015-10-13,2016-03-29,,低,24.3,1.97,17.4,1271
INS000101,2016-01-01,电力区,柴油储罐,机械,96,正常,2015-10-09,2016-02-09,,低,60.5,4.17,32.8,1136
INS000102,2016-01-06,A区,座椅系统,结构,92,正常,2015-07-23,2016-02-18,,低,32.9,2.26,24.5,2730
INS000103,2016-01-06,A区,空调机组,暖通,89,正常,2015-07-23,2016-03-26,,低,46.6,2.23,84.2,1752
INS000104,2016-01-06,A区,照明系统,电气,92,正常,2015-11-21,2016-03-02,,低,68.6,1.94,49.3,1971
INS000105,2016-01-06,A区,消防喷淋,消防,80,正常,2015-08-05,2016-03-31,,低,25.9,1.8,8.3,2067
INS000106,2016-01-06,A区,监控摄像头,安防,85,正常,2015-09-11,2016-03-21,,低,31.4,2.21,9.6,995
INS000107,2016-01-06,A区,通风管道,暖通,77,正常,2015-10-21,2016-03-01,,低,66.8,3.79,74.2,1716
INS000108,2016-01-06,A区,应急照明,电气,83,正常,2015-10-28,2016-02-26,,低,67.2,1.52,43.7,1440
INS000109,2016-01-06,A区,排水系统,结构,100,正常,2015-10-23,2016-03-04,,低,19.5,2.09,26.1,2613
INS000110,2016-01-06,A区,隔音墙板,结构,87,正常,2015-08-12,2016-03-12,,低,16.3,1.98,35.6,3048
INS000111,2016-01-06,A区,电子显示屏,电气,97,正常,2015-09-10,2016-03-19,,低,52.7,1.24,66.9,1761
INS000112,2016-01-06,B区,座椅系统,结构,94,正常,2015-11-20,2016-02-29,,低,35.6,2.02,44.4,3347
INS000113,2016-01-06,B区,空调机组,暖通,78,正常,2015-12-03,2016-03-01,,低,48.2,2.44,74.8,1601
INS000114,2016-01-06,B区,照明系统,电气,81,正常,2015-09-29,2016-03-14,,低,50.8,3.02,56.1,1468
INS000115,2016-01-06,B区,消防喷淋,消防,91,正常,2015-09-10,2016-02-27,,低,37.3,1.13,14.3,2153
INS000116,2016-01-06,B区,监控摄像头,安防,92,正常,2015-09-08,2016-02-17,,低,30.4,3.63,23.3,1560
INS000117,2016-01-06,B区,通风管道,暖通,85,正常,2015-07-17,2016-02-08,,低,31.9,2.98,86.6,1334
INS000118,2016-01-06,B区,应急照明,电气,83,正常,2015-11-05,2016-02-09,,低,60.2,2.09,74.1,1688
INS000119,2016-01-06,B区,排水系统,结构,91,正常,2015-11-10,2016-02-06,,低,34.4,1.78,25.5,2574
INS000120,2016-01-06,B区,隔音墙板,结构,94,正常,2015-10-14,2016-02-08,,低,25.1,1.08,16.3,3244
INS000121,2016-01-06,B区,电子显示屏,电气,94,正常,2015-11-17,2016-03-02,,低,45.5,3.29,61.0,1893
INS000122,2016-01-06,C区,座椅系统,结构,90,正常,2015-09-28,2016-03-04,,低,32.2,2.23,7.4,2477
INS000123,2016-01-06,C区,空调机组,暖通,82,正常,2015-09-13,2016-03-12,,低,50.7,3.3,53.7,1137
INS000124,2016-01-06,C区,照明系统,电气,88,正常,2015-08-01,2016-03-15,,低,61.7,1.32,62.8,1776
INS000125,2016-01-06,C区,消防喷淋,消防,91,正常,2015-11-19,2016-02-26,,低,40.2,2.32,33.1,2825
INS000126,2016-01-06,C区,监控摄像头,安防,88,正常,2015-09-20,2016-03-09,,低,27.5,1.98,33.2,1527
INS000127,2016-01-06,C区,通风管道,暖通,100,正常,2015-12-03,2016-03-01,,低,50.4,2.49,82.6,2286
INS000128,2016-01-06,C区,应急照明,电气,80,正常,2015-08-27,2016-03-07,,低,79.2,2.44,61.4,1448
INS000129,2016-01-06,C区,排水系统,结构,95,正常,2015-07-30,2016-02-23,,低,41.6,1.01,47.9,2830
INS000130,2016-01-06,C区,隔音墙板,结构,91,正常,2015-10-27,2016-03-12,,低,27.6,0.75,51.4,3807
INS000131,2016-01-06,C区,电子显示屏,电气,87,正常,2015-11-11,2016-03-18,,低,45.9,2.88,50.9,1369
INS000132,2016-01-06,VIP区,座椅系统,结构,93,正常,2015-10-04,2016-02-25,,低,45.3,1.84,13.5,2444
INS000133,2016-01-06,VIP区,空调机组,暖通,86,正常,2015-08-15,2016-03-09,,低,51.4,3.86,70.7,2023
INS000134,2016-01-06,VIP区,照明系统,电气,89,正常,2015-11-27,2016-02-28,,低,40.7,3.05,79.3,2414
INS000135,2016-01-06,VIP区,消防喷淋,消防,93,正常,2015-10-16,2016-03-17,,低,23.3,1.11,19.6,2671
INS000136,2016-01-06,VIP区,监控摄像头,安防,84,正常,2015-11-05,2016-03-05,,低,23.5,2.18,28.9,887
INS000137,2016-01-06,VIP区,电梯系统,运输,71,正常,2015-08-30,2016-02-15,,低,28.9,3.56,12.9,1171
INS000138,2016-01-06,VIP区,通风管道,暖通,86,正常,2015-10-22,2016-03-23,,低,47.4,2.62,73.2,1116
INS000139,2016-01-06,VIP区,应急照明,电气,88,正常,2015-11-03,2016-03-08,,低,69.2,3.09,40.7,2316
INS000140,2016-01-06,VIP区,排水系统,结构,86,正常,2015-08-07,2016-02-16,,低,40.3,2.04,14.2,3798
INS000141,2016-01-06,VIP区,电子显示屏,电气,86,正常,2015-11-18,2016-02-06,,低,45.6,2.92,39.7,1397
INS000142,2016-01-06,VIP区,贵宾接待系统,控制,82,正常,2015-11-28,2016-03-06,,低,40.5,2.86,50.7,1272
INS000143,2016-01-06,舞台区,液压升降台,机械,76,正常,2015-09-04,2016-03-11,,低,62.6,4.34,23.3,685
INS000144,2016-01-06,舞台区,舞台灯光,电气,93,正常,2015-11-09,2016-03-08,,低,58.1,1.34,76.7,1933
INS000145,2016-01-06,舞台区,音响系统,电气,83,正常,2015-09-30,2016-03-16,,低,51.8,1.53,21.1,1933
INS000146,2016-01-06,舞台区,烟雾机,特效,100,正常,2015-07-17,2016-02-23,,低,37.5,1.57,30.4,939
INS000147,2016-01-06,舞台区,吊挂系统,机械,77,正常,2015-11-30,2016-03-17,,低,51.9,4.13,12.7,657
INS000148,2016-01-06,舞台区,旋转舞台,机械,75,正常,2015-09-29,2016-03-21,,低,59.9,4.13,45.3,995
INS000149,2016-01-06,舞台区,LED地屏,电气,90,正常,2015-10-21,2016-04-01,,低,68.6,1.02,47.9,2270
INS000150,2016-01-06,舞台区,舞台幕布,结构,88,正常,2015-09-27,2016-03-27,,低,32.6,1.96,14.4,3722
INS000151,2016-01-06,舞台区,线缆卷扬机,机械,100,正常,2015-09-28,2016-03-15,,低,71.8,4.63,34.6,1134
INS000152,2016-01-06,舞台区,舞台监控,安防,83,正常,2015-09-10,2016-03-28,,低,20.7,2.2,70.1,1189
INS000153,2016-01-06,灯光区,主灯阵列,电气,88,正常,2015-08-08,2016-02-29,,低,68.5,2.21,59.3,2060
INS000154,2016-01-06,灯光区,追光灯,电气,92,正常,2015-11-05,2016-03-17,,低,56.5,1.7,63.0,1490
INS000155,2016-01-06,灯光区,灯光控制台,控制,75,正常,2015-10-25,2016-03-28,,低,48.1,3.42,8.0,976
INS000156,2016-01-06,灯光区,配电柜,电气,91,正常,2015-11-08,2016-02-24,,低,59.4,1.36,55.5,2535
INS000157,2016-01-06,灯光区,散热系统,暖通,88,正常,2015-09-07,2016-02-16,,低,35.6,2.01,68.7,1609
INS000158,2016-01-06,灯光区,特效灯,电气,80,正常,2015-10-22,2016-02-09,,低,41.1,2.28,44.2,1875
INS000159,2016-01-06,灯光区,激光投影,电气,81,正常,2015-08-14,2016-03-04,,低,67.1,1.56,40.8,1969
INS000160,2016-01-06,灯光区,灯光桁架,结构,89,正常,2015-11-28,2016-03-29,,低,21.2,2.19,23.8,2308
INS000161,2016-01-06,灯光区,调光器,电气,92,正常,2015-07-23,2016-04-04,,低,49.0,3.04,54.6,2090
INS000162,2016-01-06,灯光区,信号放大器,通信,78,正常,2015-10-08,2016-02-25,,低,44.1,1.98,12.7,970
INS000163,2016-01-06,音响区,主扩音箱,电气,90,正常,2015-09-24,2016-02-08,,低,49.6,1.58,53.5,1767
INS000164,2016-01-06,音响区,低音炮阵列,电气,86,正常,2015-09-15,2016-02-07,,低,53.2,2.38,63.9,1823
INS000165,2016-01-06,音响区,调音台,控制,88,正常,2015-07-29,2016-03-30,,低,31.9,0.58,33.0,1427
INS000166,2016-01-06,音响区,无线麦克风,通信,74,正常,2015-12-03,2016-03-11,,低,23.5,1.58,21.1,880
INS000167,2016-01-06,音响区,功放系统,电气,85,正常,2015-10-06,2016-03-09,,低,60.2,1.29,59.5,1524
INS000168,2016-01-06,音响区,音频处理器,控制,82,正常,2015-09-05,2016-03-29,,低,35.9,1.53,7.6,966
INS000169,2016-01-06,音响区,返听音箱,电气,78,正常,2015-08-21,2016-02-25,,低,63.7,1.9,66.8,1427
INS000170,2016-01-06,音响区,信号分配器,通信,90,正常,2015-10-11,2016-02-19,,低,16.5,0.22,32.6,973
INS000171,2016-01-06,音响区,录音系统,控制,81,正常,2015-08-02,2016-02-24,,低,38.5,0.08,28.4,1042
INS000172,2016-01-06,音响区,降噪系统,电气,92,正常,2015-09-19,2016-03-11,,低,40.6,2.03,66.5,1636
INS000173,2016-01-06,安防区,视频监控,安防,92,正常,2015-09-07,2016-03-03,,低,32.9,0.47,36.4,1598
INS000174,2016-01-06,安防区,门禁系统,安防,79,正常,2015-07-19,2016-03-24,,低,38.5,2.84,29.2,875
INS000175,2016-01-06,安防区,X光安检机,安防,84,正常,2015-08-07,2016-03-04,,低,25.5,1.11,40.9,1287
INS000176,2016-01-06,安防区,金属探测器,安防,85,正常,2015-09-24,2016-03-17,,低,38.1,1.73,31.5,1593
INS000177,2016-01-06,安防区,报警系统,安防,82,正常,2015-12-01,2016-03-14,,低,30.5,2.12,17.1,1270
INS000178,2016-01-06,安防区,人脸识别终端,安防,95,正常,2015-09-02,2016-02-20,,低,26.0,1.81,-11.7,1707
INS000179,2016-01-06,安防区,巡更系统,安防,81,正常,2015-11-25,2016-02-09,,低,25.7,2.14,25.6,880
INS000180,2016-01-06,安防区,对讲系统,通信,81,正常,2015-08-12,2016-02-17,,低,28.4,2.55,2.8,856
INS000181,2016-01-06,安防区,防入侵传感器,安防,88,正常,2015-08-17,2016-03-15,,低,24.5,2.02,17.7,1070
INS000182,2016-01-06,安防区,安防控制台,控制,84,正常,2015-07-28,2016-02-14,,低,44.3,3.05,27.9,793
INS000183,2016-01-06,消防区,火灾报警器,消防,86,正常,2015-07-20,2016-03-23,,低,25.1,2.56,25.1,2577
INS000184,2016-01-06,消防区,自动喷淋,消防,87,正常,2015-08-15,2016-02-19,,低,30.9,1.19,51.1,1954
INS000185,2016-01-06,消防区,消防水泵,机械,77,正常,2015-08-14,2016-03-03,,低,57.7,5.24,30.1,1088
INS000186,2016-01-06,消防区,排烟风机,暖通,85,正常,2015-11-19,2016-03-20,,低,54.5,3.93,71.5,1767
INS000187,2016-01-06,消防区,灭火器组,消防,89,正常,2015-11-21,2016-03-20,,低,17.7,1.99,27.3,2266
INS000188,2016-01-06,消防区,气体灭火系统,消防,84,正常,2015-09-08,2016-03-02,,低,20.4,2.81,16.6,1797
INS000189,2016-01-06,消防区,消防广播,通信,93,正常,2015-07-21,2016-02-06,,低,29.6,1.46,39.8,882
INS000190,2016-01-06,消防区,防火卷帘,结构,91,正常,2015-09-10,2016-03-03,,低,32.1,2.07,20.2,3502
INS000191,2016-01-06,消防区,消防电话,通信,82,正常,2015-07-13,2016-02-11,,低,33.8,2.42,22.6,774
INS000192,2016-01-06,消防区,应急照明,电气,95,正常,2015-09-03,2016-03-15,,低,65.1,0.66,49.3,1798
INS000193,2016-01-06,电力区,主变压器,电气,85,正常,2015-08-11,2016-02-08,,低,47.0,2.79,73.9,1868
INS000194,2016-01-06,电力区,备用发电机,机械,87,正常,2015-10-05,2016-04-03,,低,55.7,5.29,29.2,832
INS000195,2016-01-06,电力区,UPS电源,电气,88,正常,2015-10-22,2016-02-21,,低,48.6,2.86,47.4,1424
INS000196,2016-01-06,电力区,配电柜,电气,90,正常,2015-11-14,2016-03-12,,低,68.4,2.58,59.5,2339
INS000197,2016-01-06,电力区,电缆线路,电气,93,正常,2015-08-01,2016-03-23,,低,60.6,4.28,38.7,1520
INS000198,2016-01-06,电力区,稳压器,电气,79,正常,2015-10-25,2016-02-11,,低,50.5,2.82,65.5,1396
INS000199,2016-01-06,电力区,电容补偿柜,电气,83,正常,2015-12-06,2016-03-29,,低,59.3,3.1,43.3,1492
INS000200,2016-01-06,电力区,接地系统,电气,82,正常,2015-10-02,2016-03-16,,低,56.5,1.56,80.9,1746
INS000201,2016-01-06,电力区,电力监控,控制,86,正常,2015-10-26,2016-02-20,,低,34.2,2.38,30.4,1032
INS000202,2016-01-06,电力区,柴油储罐,机械,94,正常,2015-10-09,2016-02-12,,低,60.7,3.61,18.8,1235
INS000203,2016-01-13,A区,座椅系统,结构,85,正常,2015-10-11,2016-03-15,,低,18.2,1.94,30.8,2249
INS000204,2016-01-13,A区,空调机组,暖通,95,正常,2015-11-27,2016-03-25,,低,49.8,1.78,56.2,2024
INS000205,2016-01-13,A区,照明系统,电气,88,正常,2015-11-01,2016-03-06,,低,56.8,1.08,64.0,1445
INS000206,2016-01-13,A区,消防喷淋,消防,89,正常,2015-08-26,2016-03-13,,低,25.0,0.94,23.0,2730
INS000207,2016-01-13,A区,监控摄像头,安防,90,正常,2015-10-14,2016-02-21,,低,44.4,1.98,23.6,1559
INS000208,2016-01-13,A区,通风管道,暖通,92,正常,2015-10-24,2016-02-26,,低,32.3,3.88,63.1,1425
INS000209,2016-01-13,A区,应急照明,电气,90,正常,2015-10-18,2016-03-08,,低,65.6,1.67,43.5,1714
INS000210,2016-01-13,A区,排水系统,结构,91,正常,2015-12-08,2016-02-27,,低,11.1,1.34,40.5,3087
INS000211,2016-01-13,A区,隔音墙板,结构,96,正常,2015-08-02,2016-03-19,,低,34.3,1.14,15.2,3462
INS000212,2016-01-13,A区,电子显示屏,电气,85,正常,2015-08-17,2016-03-11,,低,60.1,3.01,69.4,2195
INS000213,2016-01-13,B区,座椅系统,结构,94,正常,2015-08-10,2016-03-18,,低,24.4,0.99,14.4,4402
INS000214,2016-01-13,B区,空调机组,暖通,88,正常,2015-09-19,2016-03-16,,低,29.8,2.97,106.3,1333
INS000215,2016-01-13,B区,照明系统,电气,93,正常,2015-09-15,2016-02-27,,低,60.1,1.99,73.2,1725
INS000216,2016-01-13,B区,消防喷淋,消防,89,正常,2015-10-22,2016-03-17,,低,33.0,2.74,54.0,2178
INS000217,2016-01-13,B区,监控摄像头,安防,88,正常,2015-11-08,2016-04-08,,低,14.4,1.2,12.5,1375
INS000218,2016-01-13,B区,通风管道,暖通,85,正常,2015-12-03,2016-04-11,,低,29.1,3.67,95.5,1497
INS000219,2016-01-13,B区,应急照明,电气,95,正常,2015-12-08,2016-04-04,,低,56.2,1.31,51.3,1542
INS000220,2016-01-13,B区,排水系统,结构,85,正常,2015-09-25,2016-03-20,,低,42.4,1.28,11.8,2529
INS000221,2016-01-13,B区,隔音墙板,结构,88,正常,2015-08-13,2016-03-05,,低,45.2,0.55,21.1,2351
INS000222,2016-01-13,B区,电子显示屏,电气,90,正常,2015-10-23,2016-02-17,,低,47.3,3.26,59.3,1887
INS000223,2016-01-13,C区,座椅系统,结构,92,正常,2015-07-22,2016-03-15,,低,24.6,2.66,32.9,3652
